"","QCno","pr.y","group","metric"
"1",1,0,"Individual Value CUSUM+","Retention Time"
"2",2,0,"Individual Value CUSUM+","Retention Time"
"3",3,0,"Individual Value CUSUM+","Retention Time"
"4",4,0,"Individual Value CUSUM+","Retention Time"
"5",5,0,"Individual Value CUSUM+","Retention Time"
"6",6,0,"Individual Value CUSUM+","Retention Time"
"7",7,0.5,"Individual Value CUSUM+","Retention Time"
"8",8,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"9",9,1,"Individual Value CUSUM+","Retention Time"
"10",10,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"11",11,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"12",12,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"13",13,1,"Individual Value CUSUM+","Retention Time"
"14",14,1,"Individual Value CUSUM+","Retention Time"
"15",15,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"16",16,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"17",17,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"18",18,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"19",19,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"20",20,1,"Individual Value CUSUM+","Retention Time"
"21",21,1,"Individual Value CUSUM+","Retention Time"
"22",22,1,"Individual Value CUSUM+","Retention Time"
"23",23,1,"Individual Value CUSUM+","Retention Time"
"24",24,1,"Individual Value CUSUM+","Retention Time"
"25",25,1,"Individual Value CUSUM+","Retention Time"
"26",26,1,"Individual Value CUSUM+","Retention Time"
"27",27,1,"Individual Value CUSUM+","Retention Time"
"28",28,1,"Individual Value CUSUM+","Retention Time"
"29",29,1,"Individual Value CUSUM+","Retention Time"
"30",30,1,"Individual Value CUSUM+","Retention Time"
"31",31,1,"Individual Value CUSUM+","Retention Time"
"32",32,1,"Individual Value CUSUM+","Retention Time"
"33",33,1,"Individual Value CUSUM+","Retention Time"
"34",34,1,"Individual Value CUSUM+","Retention Time"
"35",35,1,"Individual Value CUSUM+","Retention Time"
"36",36,1,"Individual Value CUSUM+","Retention Time"
"37",37,1,"Individual Value CUSUM+","Retention Time"
"38",38,1,"Individual Value CUSUM+","Retention Time"
"39",39,1,"Individual Value CUSUM+","Retention Time"
"40",40,1,"Individual Value CUSUM+","Retention Time"
"41",41,1,"Individual Value CUSUM+","Retention Time"
"42",42,1,"Individual Value CUSUM+","Retention Time"
"43",43,1,"Individual Value CUSUM+","Retention Time"
"44",44,1,"Individual Value CUSUM+","Retention Time"
"45",45,0.833333333333333,"Individual Value CUSUM+","Retention Time"
"46",1,0,"Individual Value CUSUM-","Retention Time"
"47",2,0,"Individual Value CUSUM-","Retention Time"
"48",3,0,"Individual Value CUSUM-","Retention Time"
"49",4,0,"Individual Value CUSUM-","Retention Time"
"50",5,0,"Individual Value CUSUM-","Retention Time"
"51",6,0,"Individual Value CUSUM-","Retention Time"
"52",7,0,"Individual Value CUSUM-","Retention Time"
"53",8,0,"Individual Value CUSUM-","Retention Time"
"54",9,0,"Individual Value CUSUM-","Retention Time"
"55",10,0,"Individual Value CUSUM-","Retention Time"
"56",11,0,"Individual Value CUSUM-","Retention Time"
"57",12,0,"Individual Value CUSUM-","Retention Time"
