"","x","m","loc","dens"
"1","A","i",-9.33537528746788,-1.42779019016821e-05
"2","A","i",-9.20490415131341,-1.58085781475503e-05
"3","A","i",-9.07443301515894,-1.75415485294924e-05
"4","A","i",-8.94396187900446,-1.94392494277641e-05
"5","A","i",-8.81349074284999,-2.14744663388351e-05
"6","A","i",-8.68301960669552,-2.37667617061019e-05
"7","A","i",-8.55254847054104,-2.62752061631276e-05
"8","A","i",-8.42207733438657,-2.89607449941821e-05
"9","A","i",-8.2916061982321,-3.19702977379085e-05
"10","A","i",-8.16113506207762,-3.52610846071263e-05
"11","A","i",-8.03066392592315,-3.87780638294866e-05
"12","A","i",-7.90019278976868,-4.27000641145679e-05
"13","A","i",-7.76972165361421,-4.69849133989851e-05
"14","A","i",-7.63925051745973,-5.15562949057483e-05
"15","A","i",-7.50877938130526,-5.66297897479885e-05
"16","A","i",-7.37830824515079,-6.21675093760018e-05
"17","A","i",-7.24783710899631,-6.8065214613009e-05
"18","A","i",-7.11736597284184,-7.45802582502503e-05
"19","A","i",-6.98689483668737,-8.16842386697442e-05
"20","A","i",-6.85642370053289,-8.92367565711977e-05
"21","A","i",-6.72595256437842,-9.75419737556238e-05
"22","A","i",-6.59548142822395,-0.000106588043737817
"23","A","i",-6.46501029206947,-0.000116188345257825
"24","A","i",-6.334539155915,-0.000126698700159758
"25","A","i",-6.20406801976053,-0.000138133101049242
"26","A","i",-6.07359688360606,-0.000150246595790744
"27","A","i",-5.94312574745158,-0.000163451078990167
"28","A","i",-5.81265461129711,-0.000177798227092162
"29","A","i",-5.68218347514264,-0.000192970407304561
"30","A","i",-5.55171233898816,-0.000209439263538535
"31","A","i",-5.42124120283369,-0.000227308873684712
"32","A","i",-5.29077006667922,-0.000246172192430129
"33","A","i",-5.16029893052474,-0.000266563215520555
"34","A","i",-5.02982779437027,-0.000288656257068686
"35","A","i",-4.8993566582158,-0.000311935685107683
"36","A","i",-4.76888552206132,-0.000336999008735162
"37","A","i",-4.63841438590685,-0.000364111864270397
"38","A","i",-4.50794324975238,-0.000392628470683522
"39","A","i",-4.3774721135979,-0.000423209191293129
"40","A","i",-4.24700097744343,-0.000456235296188678
"41","A","i",-4.11652984128896,-0.000490907109585342
"42","A","i",-3.98605870513449,-0.000527944999640154
"43","A","i",-3.85558756898001,-0.000567873167619149
"44","A","i",-3.72511643282554,-0.000609712508741288
"45","A","i",-3.59464529667107,-0.000654238025598627
"46","A","i",-3.46417416051659,-0.000702146623608875
"47","A","i",-3.33370302436212,-0.000752253068717301
"48","A","i",-3.20323188820765,-0.000805378848871816
"49","A","i",-3.07276075205317,-0.000862424987323755
"50","A","i",-2.9422896158987,-0.000921973138536973
"51","A","i",-2.81181847974423,-0.000984880201839543
"52","A","i",-2.68134734358975,-0.00105228316728587
"53","A","i",-2.55087620743528,-0.00112250448461947
"54","A","i",-2.42040507128081,-0.00119642247092433
"55","A","i",-2.28993393512634,-0.00127544076030947
"56","A","i",-2.15946279897186,-0.00135759886273163
"57","A","i",-2.02899166281739,-0.00144377979499048
